,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,1,Finland,7.842100143432617,1.4463562965393066,1.1061915159225464,0.7408238053321838,0.6905766129493713,0.12420045584440231,0.4805239737033844
1,2,Denmark,7.619500160217285,1.5015480518341064,1.1080076694488525,0.7628624439239502,0.6861603260040283,0.20761457085609436,0.4849926829338074
2,3,Switzerland,7.571499824523926,1.56589937210083,1.0794686079025269,0.8164148330688477,0.6534879207611084,0.20403996109962463,0.413019061088562
3,4,Iceland,7.553899765014648,1.4821898937225342,1.1722792387008667,0.7723187208175659,0.6977011561393738,0.2925264239311218,0.16993995010852814
4,5,Netherlands,7.464000225067139,1.501071572303772,1.0791510343551636,0.7534254193305969,0.6465853452682495,0.3023965656757355,0.3835311233997345
5,6,Norway,7.392499923706055,1.5434552431106567,1.1080878973007202,0.7817675471305847,0.7031350135803223,0.2489185482263565,0.4268389642238617
6,7,Sweden,7.36269998550415,1.478426218032837,1.0615882873535156,0.7628718614578247,0.6849016547203064,0.24421997368335724,0.44760826230049133
7,8,Luxembourg,7.324399948120117,1.7507855892181396,1.0029783248901367,0.7597206830978394,0.6393625140190125,0.16607677936553955,0.35261353850364685
8,9,New Zealand,7.276599884033203,1.4000682830810547,1.093900442123413,0.7849212884902954,0.6654025912284851,0.2755538821220398,0.44494184851646423
9,10,Austria,7.2677998542785645,1.4921637773513794,1.062422513961792,0.7817584276199341,0.6399840712547302,0.21508997678756714,0.2920558750629425
10,11,Australia,7.183499813079834,1.4534845352172852,1.0758804082870483,0.8006671071052551,0.6472353935241699,0.2913886308670044,0.31698212027549744
11,12,Israel,7.157100200653076,1.3763267993927002,1.07381272315979,0.7881687879562378,0.5089752078056335,0.20798835158348083,0.1187649592757225
12,13,Germany,7.1545000076293945,1.4803659915924072,0.9925621747970581,0.7565743923187256,0.6004118323326111,0.19491444528102875,0.30559656023979187
13,14,Canada,7.103300094604492,1.4466791152954102,1.044359564781189,0.7975085377693176,0.6484853029251099,0.24622412025928497,0.33458682894706726
14,15,Ireland,7.085299968719482,1.6444793939590454,1.091831088066101,0.7534213662147522,0.6055065393447876,0.2383265197277069,0.3674488365650177
15,16,Costa Rica,7.069399833679199,1.1335699558258057,0.9658473134040833,0.7219244837760925,0.6725239157676697,0.10547269135713577,0.08328060060739517
16,17,United Kingdom,7.063600063323975,1.4225784540176392,1.06199049949646,0.7565741539001465,0.580345630645752,0.3402424156665802,0.3060355484485626
17,18,Czech Republic,6.964700222015381,1.3698246479034424,1.090193271636963,0.7032392621040344,0.5800207853317261,0.05206361413002014,0.04563715308904648
18,19,United States,6.951499938964844,1.5329774618148804,1.0301469564437866,0.6211386322975159,0.5539203882217407,0.252187579870224,0.1538696587085724
19,20,Belgium,6.834000110626221,1.463081955909729,0.997890293598175,0.7471046447753906,0.48864832520484924,0.08792529255151749,0.18733766674995422
20,21,France,6.689899921417236,1.4214428663253784,1.0808327198028564,0.8038071990013123,0.5355432033538818,0.09239309281110764,0.23506233096122742
21,22,Bahrain,6.646900177001953,1.4091163873672485,0.8990120887756348,0.6619321703910828,0.6610322594642639,0.2461077868938446,0.13861463963985443
22,23,Malta,6.6020002365112305,1.410881519317627,1.0551129579544067,0.7471227049827576,0.6637340784072876,0.27450403571128845,0.1826171875
23,24,Taiwan Province of China,6.584400177001953,1.4798239469528198,0.9815506935119629,0.6652359366416931,0.4899129569530487,0.14198705554008484,0.13903158903121948
24,25,United Arab Emirates,6.560500144958496,1.5545523166656494,0.8601416349411011,0.5938335657119751,0.6700464487075806,0.23624581098556519,0.22332940995693207
25,26,Saudi Arabia,6.49399995803833,1.4349323511123657,0.9641367197036743,0.5708486437797546,0.6029582023620605,0.0904901772737503,0.1628357470035553
26,27,Spain,6.490699768066406,1.3749617338180542,1.0565775632858276,0.8258600234985352,0.46193286776542664,0.13504338264465332,0.12375995516777039
27,28,Italy,6.483099937438965,1.3931456804275513,0.9402785897254944,0.7975162267684937,0.3786349892616272,0.13302730023860931,0.04693835973739624
28,29,Slovenia,6.460700035095215,1.3604670763015747,1.0934864282608032,0.7219191789627075,0.6897962093353271,0.12229762226343155,0.08472754061222076
29,30,Guatemala,6.434500217437744,0.8448103666305542,0.7900813817977905,0.5190408229827881,0.6377022862434387,0.1634448617696762,0.10459919273853302
30,31,Uruguay,6.431399822235107,1.1635020971298218,1.0416945219039917,0.6494903564453125,0.6254554986953735,0.12781445682048798,0.22305861115455627
31,32,Singapore,6.376500129699707,1.695391058921814,1.0189937353134155,0.8968137502670288,0.66372150182724,0.17595279216766357,0.5467753410339355
32,33,Kosovo,6.372000217437744,0.9373340010643005,0.8073555827140808,0.48296672105789185,0.5928694009780884,0.35589656233787537,0.013937699608504772
33,34,Slovakia,6.330900192260742,1.3044217824935913,1.066245198249817,0.6526585817337036,0.4680323302745819,0.1072302758693695,0.017916766926646233
34,35,Brazil,6.330100059509277,1.0278451442718506,0.9439684152603149,0.5707787275314331,0.5143135190010071,0.14162582159042358,0.11666901409626007
35,36,Mexico,6.316800117492676,1.1262321472167969,0.829717218875885,0.6336547136306763,0.584987998008728,0.09220424294471741,0.0894470289349556
36,37,Jamaica,6.309199810028076,0.8912045955657959,0.9324901700019836,0.5990965962409973,0.6179500818252563,0.09873521327972412,0.035032786428928375
37,38,Lithuania,6.25540018081665,1.3497631549835205,1.0650265216827393,0.6118851900100708,0.4763244390487671,0.05575535073876381,0.07251642644405365
38,39,Cyprus,6.223499774932861,1.3767735958099365,0.7653141617774963,0.8005865812301636,0.4639536142349243,0.17824411392211914,0.06068984046578407
39,40,Estonia,6.188799858093262,1.3436338901519775,1.07881760597229,0.6400372385978699,0.6412279605865479,0.11869920790195465,0.26318541169166565
40,41,Panama,6.179599761962891,1.2978569269180298,0.976140022277832,0.6668770909309387,0.596409022808075,0.07949862629175186,0.05334916338324547
41,42,Uzbekistan,6.178800106048584,0.7690013647079468,1.027037262916565,0.5284002423286438,0.7159636616706848,0.39065924286842346,0.27055713534355164
42,43,Chile,6.171899795532227,1.2003555297851562,0.9455326795578003,0.6778346300125122,0.4377621114253998,0.15907956659793854,0.06950421631336212
43,44,Poland,6.166100025177002,1.3089760541915894,0.9815690517425537,0.6684379577636719,0.5583668947219849,0.08042557537555695,0.13009196519851685
44,45,Kazakhstan,6.151800155639648,1.2295936346054077,1.1028239727020264,0.5266538262367249,0.5728469491004944,0.14267094433307648,0.13153886795043945
45,46,Romania,6.139999866485596,1.2746505737304688,0.8320383429527283,0.5945364236831665,0.5637512803077698,0.04480811953544617,0.0006828740006312728
46,47,Kuwait,6.106100082397461,1.4608532190322876,0.8565274477005005,0.580199658870697,0.5905794501304626,0.12002494931221008,0.12952513992786407
47,48,Serbia,6.077899932861328,1.1009752750396729,0.923801600933075,0.6337515711784363,0.4816390573978424,0.18940389156341553,0.06635235249996185
48,49,El Salvador,6.060500144958496,0.8449673056602478,0.6746991276741028,0.5645120739936829,0.6154946684837341,0.11604499071836472,0.16011211276054382
49,50,Mauritius,6.048999786376953,1.1783559322357178,0.9960209131240845,0.5739279389381409,0.5903744697570801,0.15267452597618103,0.09585323184728622
50,51,Latvia,6.0320000648498535,1.285496473312378,1.04738187789917,0.5865048170089722,0.40496960282325745,0.08228651434183121,0.08899401128292084
51,52,Colombia,6.012400150299072,1.0207512378692627,0.8656936287879944,0.6148872971534729,0.5539491176605225,0.10004029422998428,0.06279616802930832
52,53,Hungary,5.991600036621094,1.3006794452667236,1.0833665132522583,0.614849328994751,0.4540945887565613,0.06652212142944336,0.040280405431985855
53,54,Thailand,5.9847002029418945,1.1072834730148315,0.9573325514793396,0.595981776714325,0.6112027168273926,0.37545013427734375,0.028043940663337708
54,55,Nicaragua,5.972099781036377,0.6934829354286194,0.9042699933052063,0.6040265560150146,0.5525265336036682,0.2007615566253662,0.1758541315793991
55,56,Japan,5.940499782562256,1.3891404867172241,0.949250340461731,0.8384719491004944,0.5037634968757629,0.019542912021279335,0.1922464519739151
56,57,Argentina,5.929299831390381,1.1621180772781372,0.9798498749732971,0.6463438272476196,0.5436050891876221,0.06944077461957932,0.06720749288797379
57,58,Portugal,5.928999900817871,1.3226773738861084,0.9391288161277771,0.7597060799598694,0.6205487847328186,0.028545835986733437,0.033171217888593674
58,59,Honduras,5.9191999435424805,0.7032506465911865,0.7870002388954163,0.5927936434745789,0.578340470790863,0.24080146849155426,0.08327946066856384
59,60,Croatia,5.881700038909912,1.2514064311981201,1.0385836362838745,0.7030100226402283,0.4525737464427948,0.11120563000440598,0.0
60,61,Philippines,5.880199909210205,0.8525596261024475,0.8275595903396606,0.4258730113506317,0.6513103246688843,0.12480349093675613,0.12600098550319672
61,62,South Korea,5.8454999923706055,1.4028633832931519,0.7580313086509705,0.8006598949432373,0.3532063961029053,0.13367602229118347,0.13536310195922852
62,63,Peru,5.839600086212158,0.9862961173057556,0.8328760862350464,0.6227194666862488,0.5356666445732117,0.08744616061449051,0.030743280425667763
63,64,Bosnia and Herzegovina,5.8130998611450195,1.0322858095169067,0.9187120199203491,0.6179461479187012,0.3949841558933258,0.2613746225833893,0.005185090936720371
64,65,Moldova,5.76639986038208,0.9847458004951477,0.8880466818809509,0.5423614382743835,0.5358183979988098,0.1366494745016098,0.013474796898663044
65,66,Ecuador,5.763999938964844,0.9354711174964905,0.8063560724258423,0.6400381922721863,0.5602772831916809,0.10729539394378662,0.061756402254104614
66,67,Kyrgyzstan,5.743599891662598,0.664905846118927,0.9705217480659485,0.5014815926551819,0.6726455688476562,0.26580023765563965,0.020152518525719643
67,68,Greece,5.722599983215332,1.2729252576828003,0.8114303946495056,0.7597255110740662,0.2433871477842331,0.0,0.0741005539894104
68,69,Bolivia,5.71589994430542,0.8421072363853455,0.7817600965499878,0.48575320839881897,0.5997694134712219,0.13753513991832733,0.06398770958185196
69,70,Mongolia,5.677199840545654,0.9659620523452759,1.0646692514419556,0.44162553548812866,0.39653781056404114,0.26332783699035645,0.052846044301986694
70,71,Paraguay,5.652599811553955,0.9827200174331665,0.9704357981681824,0.5487047433853149,0.6019546389579773,0.20631246268749237,0.03677328675985336
71,72,Montenegro,5.58050012588501,1.1545517444610596,0.8913286924362183,0.6368666291236877,0.39687180519104004,0.16565334796905518,0.08102713525295258
72,73,Dominican Republic,5.545100212097168,1.1064739227294922,0.8792915344238281,0.5550658702850342,0.5814091563224792,0.10102569311857224,0.1435975432395935
73,74,North Cyprus,5.5355000495910645,1.3767735958099365,0.8059998750686646,0.8005865812301636,0.503215491771698,0.1958886682987213,0.19975294172763824
74,75,Belarus,5.5335001945495605,1.1242443323135376,1.0071513652801514,0.5598226189613342,0.3259836733341217,0.07034086436033249,0.1993880718946457
75,76,Russia,5.477200031280518,1.2414637804031372,0.9918856620788574,0.5110024809837341,0.40922391414642334,0.11527172476053238,0.06040779873728752
76,77,Hong Kong S.A.R. of China,5.4766998291015625,1.5250036716461182,0.8407496809959412,0.892632246017456,0.40771162509918213,0.23190467059612274,0.3422622084617615
77,78,Tajikistan,5.46619987487793,0.5084927082061768,0.8946593403816223,0.49769994616508484,0.5478841662406921,0.1515914499759674,0.24660591781139374
78,79,Vietnam,5.410799980163574,0.8167730569839478,0.8727545142173767,0.6159191131591797,0.6788038611412048,0.1242956593632698,0.09114488214254379
79,80,Libya,5.410299777984619,1.043562889099121,0.8209049105644226,0.43532291054725647,0.47374147176742554,0.13145598769187927,0.17393061518669128
80,81,Malaysia,5.384300231933594,1.2587281465530396,0.7973325252532959,0.5865665674209595,0.6240876317024231,0.2697087824344635,0.06379856169223785
81,82,Indonesia,5.3445000648498535,0.9535987973213196,0.7858453989028931,0.4333186745643616,0.5976222157478333,0.5412498116493225,0.04593485966324806
82,83,Congo (Brazzaville),5.341700077056885,0.5177319645881653,0.3917429745197296,0.30685344338417053,0.3808508813381195,0.143914595246315,0.12414618581533432
83,84,China,5.339099884033203,1.0613384246826172,0.7845351696014404,0.6650282740592957,0.6358493566513062,0.09279198944568634,0.11731239408254623
84,85,Ivory Coast,5.306000232696533,0.6693159341812134,0.4089065492153168,0.05151302367448807,0.43771234154701233,0.17721492052078247,0.09239058941602707
85,86,Armenia,5.282599925994873,0.996425986289978,0.757972776889801,0.585085928440094,0.5397685170173645,0.07861096411943436,0.19764414429664612
86,87,Nepal,5.268899917602539,0.5187152028083801,0.7024221420288086,0.4961959719657898,0.4876171052455902,0.28713729977607727,0.13509976863861084
87,88,Bulgaria,5.265500068664551,1.1809667348861694,1.05475652217865,0.583357036113739,0.49417251348495483,0.1250273585319519,0.004608572460711002
88,89,Maldives,5.1975998878479,1.114727258682251,1.0150786638259888,0.6967308521270752,0.5746062397956848,0.20362809300422668,0.07314247637987137
89,90,Azerbaijan,5.17080020904541,1.0248488187789917,0.841063916683197,0.541015088558197,0.526176393032074,0.04279636964201927,0.27605313062667847
90,91,Cameroon,5.1417999267578125,0.5428449511528015,0.5564934015274048,0.15864978730678558,0.4252331554889679,0.2047022134065628,0.05848970636725426
91,92,Senegal,5.131800174713135,0.5180671811103821,0.5578997731208801,0.3566344976425171,0.38143807649612427,0.15796388685703278,0.08837924897670746
92,93,Albania,5.117400169372559,1.0079978704452515,0.5290025472640991,0.6463197469711304,0.4909774661064148,0.1684543937444687,0.02444419078528881
93,94,North Macedonia,5.101200103759766,1.068334698677063,0.7715405821800232,0.5352904796600342,0.44954949617385864,0.21244187653064728,0.021788299083709717
94,95,Ghana,5.088399887084961,0.6795001029968262,0.5951294302940369,0.2868667244911194,0.5168581008911133,0.268442839384079,0.058129776269197464
95,96,Niger,5.074100017547607,0.161512091755867,0.4022373557090759,0.16698631644248962,0.5163938403129578,0.20000897347927094,0.15739163756370544
96,97,Turkmenistan,5.066400051116943,1.0460201501846313,1.1721347570419312,0.4387519359588623,0.6022576093673706,0.36595067381858826,0.032710861414670944
97,98,Gambia,5.051000118255615,0.3670482933521271,0.5114679336547852,0.21045416593551636,0.3836665451526642,0.4646662771701813,0.12332039326429367
98,99,Benin,5.045199871063232,0.5071606040000916,0.058385640382766724,0.19636300206184387,0.4572092890739441,0.1659182757139206,0.17768806219100952
99,100,Laos,5.03000020980835,0.8077576756477356,0.5978697538375854,0.33038610219955444,0.6428588032722473,0.26830539107322693,0.17929458618164062
100,101,Bangladesh,5.024600028991699,0.6354741454124451,0.5199570655822754,0.5140591859817505,0.6026487946510315,0.16100110113620758,0.16431772708892822
101,102,Guinea,4.984300136566162,0.4200941026210785,0.3985123336315155,0.2056681215763092,0.3838695287704468,0.24973633885383606,0.1105109453201294
102,103,South Africa,4.956399917602539,0.9667996764183044,0.8945959210395813,0.2653753161430359,0.4473489820957184,0.1442687213420868,0.05086477845907211
103,104,Turkey,4.9475998878479,1.2595365047454834,0.8091996908187866,0.5896127223968506,0.23613476753234863,0.09699594229459763,0.10442038625478745
104,105,Pakistan,4.934000015258789,0.6368905305862427,0.42349037528038025,0.32222461700439453,0.41838207840919495,0.25162047147750854,0.09716766327619553
105,106,Morocco,4.918000221252441,0.7921851873397827,0.21943333745002747,0.5584077835083008,0.47675055265426636,0.034210167825222015,0.0879276767373085
106,107,Venezuela,4.892199993133545,0.8516916632652283,0.897400438785553,0.5738962292671204,0.2842910885810852,0.07788644731044769,0.07186350971460342
107,108,Georgia,4.89139986038208,1.0303853750228882,0.46977394819259644,0.49831315875053406,0.48777320981025696,0.03242618218064308,0.18133533000946045
108,109,Algeria,4.8871002197265625,0.9457666277885437,0.7645167708396912,0.5519976615905762,0.11920929700136185,0.14427530765533447,0.11955289542675018
109,110,Ukraine,4.874800205230713,0.9785028696060181,0.958214282989502,0.5172648429870605,0.4170069396495819,0.1807764172554016,0.009901577606797218
110,111,Iraq,4.854100227355957,0.9100210070610046,0.6378000974655151,0.3812561333179474,0.3017941117286682,0.15334570407867432,0.04089774563908577
111,112,Gabon,4.851799964904785,1.0368281602859497,0.7069745063781738,0.3616759479045868,0.4244368076324463,0.057598214596509933,0.06362553685903549
112,113,Burkina Faso,4.833799839019775,0.3643133342266083,0.47234976291656494,0.17866499722003937,0.3806396722793579,0.18235187232494354,0.12207324057817459
113,114,Cambodia,4.830399990081787,0.6026829481124878,0.6803444027900696,0.42588505148887634,0.7019068002700806,0.2101219892501831,0.06114954873919487
114,115,Mozambique,4.79449987411499,0.1827707290649414,0.6335669159889221,0.1961454153060913,0.608491837978363,0.2276327908039093,0.1625775694847107
115,116,Nigeria,4.759300231933594,0.6629147529602051,0.6251448392868042,0.05114226043224335,0.4327877163887024,0.2123686522245407,0.0388517864048481
116,117,Mali,4.723499774932861,0.3872072696685791,0.5899457931518555,0.10994572192430496,0.3839271366596222,0.1644725352525711,0.07169443368911743
117,118,Iran,4.721199989318848,1.0303150415420532,0.5574936866760254,0.561313807964325,0.2747035622596741,0.33049440383911133,0.14358165860176086
118,119,Uganda,4.636499881744385,0.3640840947628021,0.7175764441490173,0.24009816348552704,0.3980002701282501,0.2673453986644745,0.053849924355745316
119,120,Liberia,4.625199794769287,0.22792436182498932,0.5801512002944946,0.2525760531425476,0.4301750063896179,0.22074152529239655,0.05704052373766899
120,121,Kenya,4.606599807739258,0.6028255224227905,0.5079625248908997,0.3850586712360382,0.48283469676971436,0.3751075863838196,0.07263338565826416
121,122,Tunisia,4.596499919891357,0.9190146923065186,0.5145300030708313,0.5896722674369812,0.3335992395877838,0.05713280290365219,0.04424624145030975
122,123,Lebanon,4.583799839019775,1.0447436571121216,0.8678476214408875,0.5945366621017456,0.174581840634346,0.14004866778850555,0.026287246495485306
123,124,Namibia,4.574100017547607,0.8822475671768188,0.8009064793586731,0.2620636522769928,0.41074398159980774,0.09079241752624512,0.059079643338918686
124,125,Palestinian Territories,4.51669979095459,0.6460618376731873,0.8185746669769287,0.43374818563461304,0.3300917148590088,0.0819539800286293,0.07526784390211105
125,126,Myanmar,4.42579984664917,0.6657741665840149,0.7127127051353455,0.3408975899219513,0.6009678840637207,0.5199297666549683,0.17843978106975555
126,127,Jordan,4.394599914550781,0.8897735476493835,0.6853954792022705,0.5833587646484375,0.45452260971069336,0.07917023450136185,0.1496649533510208
127,128,Chad,4.355400085449219,0.2545839548110962,0.3530394434928894,0.0,0.23956871032714844,0.21494224667549133,0.08445693552494049
128,129,Sri Lanka,4.324999809265137,0.9904955625534058,0.8198546767234802,0.5927727222442627,0.5593722462654114,0.23939751088619232,0.04863446578383446
129,130,Swaziland,4.30810022354126,0.8489258885383606,0.6932052373886108,0.07417500019073486,0.3225506842136383,0.06737956404685974,0.14736534655094147
130,131,Comoros,4.288599967956543,0.4875239431858063,0.36737337708473206,0.2793918550014496,0.2018290013074875,0.24118231236934662,0.10122005641460419
131,132,Egypt,4.282700061798096,0.9542425274848938,0.6469902992248535,0.4258024990558624,0.4463527798652649,0.06917328387498856,0.0921931192278862
132,133,Ethiopia,4.274700164794922,0.369729608297348,0.6788085699081421,0.33137476444244385,0.4506741464138031,0.2414661943912506,0.11403144150972366
133,134,Mauritania,4.227399826049805,0.6660717129707336,0.7487669587135315,0.27345725893974304,0.21839287877082825,0.11856285482645035,0.13292106986045837
134,135,Madagascar,4.208499908447266,0.2658814787864685,0.502705991268158,0.3410077691078186,0.20737116038799286,0.18462075293064117,0.08685450255870819
135,136,Togo,4.106800079345703,0.2540275454521179,0.23949338495731354,0.20271246135234833,0.2891717553138733,0.20853717625141144,0.10655517876148224
136,137,Zambia,4.073400020599365,0.5275959968566895,0.5517850518226624,0.23089599609375,0.48691749572753906,0.2274535447359085,0.07392022758722305
137,138,Sierra Leone,3.849400043487549,0.2789907157421112,0.37712398171424866,0.099918894469738,0.40816107392311096,0.2427666187286377,0.04652806371450424
138,139,India,3.8189001083374023,0.7406192421913147,0.31622985005378723,0.38282087445259094,0.6222656965255737,0.24624469876289368,0.10562895238399506
139,140,Burundi,3.7753000259399414,0.0,0.06247328966856003,0.15501809120178223,0.2976396083831787,0.17239798605442047,0.21198521554470062
140,141,Yemen,3.657900094985962,0.32949748635292053,0.8311890959739685,0.2722286581993103,0.26819995045661926,0.09226715564727783,0.08867911994457245
141,142,Tanzania,3.623199939727783,0.43330812454223633,0.5395141243934631,0.2998630106449127,0.5492643117904663,0.3074494004249573,0.23108436167240143
142,143,Haiti,3.6149001121520996,0.2941065728664398,0.17326688766479492,0.22745640575885773,0.2574906051158905,0.4629477262496948,0.13921146094799042
143,144,Malawi,3.5999999046325684,0.1125684604048729,0.16761381924152374,0.2982420325279236,0.48424458503723145,0.21302472054958344,0.1340993493795395
144,145,Lesotho,3.5118000507354736,0.450848251581192,0.7305609583854675,0.00699187908321619,0.4054553210735321,0.10281939804553986,0.015283909626305103
145,146,Botswana,3.4665000438690186,1.0991977453231812,0.7244781851768494,0.3398677110671997,0.5386261940002441,0.027393924072384834,0.08846781402826309
146,147,Rwanda,3.4147000312805176,0.3636244535446167,0.20218317210674286,0.406968891620636,0.626681387424469,0.22745664417743683,0.4926692843437195
147,148,Zimbabwe,3.1447999477386475,0.4567241668701172,0.6485522985458374,0.24323031306266785,0.3589070439338684,0.15708784759044647,0.07547120004892349
148,149,Afghanistan,2.522900104522705,0.37011992931365967,0.0,0.12644000351428986,0.0,0.12164115160703659,0.009569092653691769
